ID,RECON_id,CNS_name,CS_number,A_B,objects,LHS,RA_hr,RA_min,RA_sec,DEC_degrees,DEC_min,DEC_sec,DEC_ref,ProperMo_arcsec_year,ProperMo_direction_degree,ProperMo_ref,trig_par,trig_par2,trig_par_ref,spectral_type,spectral_type2,spectral_type_ref,V_magnitude,Mv_abds_mag,mass_est,notes1,notes2,notes3,common_name
2,1,GJ,551,,-,49,14,29,43,-62,40,46,H,3.853,281.5,H,0.76885,0.00029,YHB*,M5.0,V,*,11.05,15.48,0.11,separ,at,"ion 7849""",Proxima Centauri
3,1,GJ,559,A,3,50,14,39,36.5,-60,50,2,H,3.71,277.5,H,0.74723,0.00117,YS,G2.0,V,G,0.01,4.38,1.14,,,,alpha Centauri A
4,1,GJ,559,B,-,51,14,39,35.1,-60,50,14,H,3.724,284.8,H,0.74723,0.00117,,K0,V,N,1.34,5.71,0.92,orbit,1,"8""",alpha Centauri B
5,2,GJ,699,,1,57,17,57,48.5,4,41,36,H,10.358,355.6,H,0.54551,0.00029,YHB,M3.5,V,*,9.57,13.25,0.16,,,,Barnard's Star
6,3,GJ,406,,1,36,10,56,29.2,7,0,53,N,4.696,234.6,N,0.4191,0.0021,Y,M5.5,V,*,13.53,16.64,0.09,,,,Wolf 359
7,4,GJ,411,,1,37,11,3,20.2,35,58,12,H,4.802,186.9,H,0.39325,0.00057,YH,M2.0,V,*,7.47,10.44,0.46,,,,Lalande 21185
8,5,GJ,244,A,2,219,6,45,8.9,-16,42,58,H,1.339,204.1,H,0.38002,0.00128,YH,A1.0,V,G,-1.43,1.47,1.99,,,,Sirius
9,5,GJ,244,B,-,,6,45,8.9,-16,42,58,,1.339,204.1,,0.38002,0.00128,,DA2,,N,8.44,11.34,1,orbit,8,"""",Sirius B
10,6,GJ,65,A,2,9,1,39,1.3,-17,57,1,N,3.368,80.4,N,0.3737,0.0027,Y,M5.5,V,*,12.61,15.47,0.11,,,,BL Ceti
11,6,GJ,65,B,-,10,1,39,1.3,-17,57,1,,3.368,80.4,,0.3737,0.0027,,M6.0,V,*,13.06,15.93,0.1,orbit,<,"2""",UV Ceti
12,7,GJ,729,,1,3414,18,49,49.4,-23,50,10,H,0.666,106.8,H,0.33722,0.00197,YH,M3.5,V,*,10.44,13.08,0.17,,,,Ross 154
13,8,GJ,905,,1,549,23,41,54.7,44,10,30,N,1.617,177,N,0.31637,0.00055,YGG,M5.5,V,*,12.29,14.79,0.12,,,,Ross 248
14,9,GJ,144,,1+1P,1557,3,32,55.8,-9,27,30,H,0.977,271.1,H,0.31122,0.00009,YHB,K2.0,V,G,3.73,6.2,0.85,cold,du,st,epsilon Eridani
15,10,GJ,887,,1,70,23,5,52,-35,51,11,H,6.896,78.9,H,0.30508,0.0007,YH,M1.0,V,*,7.34,9.76,0.53,,,,Lacaille 9352
16,11,GJ,447,,1,315,11,47,44.4,0,48,16,H,1.361,153.6,H,0.29814,0.00137,YH,M4.0,V,*,11.16,13.53,0.16,,,,Ross 128
17,12,GJ,866,A,3,68,22,38,33.4,-15,18,7,N,3.254,46.6,N,0.2895,0.0044,Y,M5.0,VJ,*,13.03,15.33,0.11,,,,EZ Aquarii A
18,12,GJ,866,B,-,,22,38,33.4,-15,18,7,,3.254,46.6,,0.2895,0.0044,,M,V,-,13.27,15.58,0.11,orbit,<,"2""",EZ Aquarii B
19,12,GJ,866,C,-,,22,38,33.4,-15,18,7,,3.254,46.6,,0.2895,0.0044,,M,V,-,15.07,17.37,0.08,orbit,<,"2""",EZ Aquarii C
